Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Linnaeushof 4,1098KH,Amsterdam,Oost,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Looiersgracht 26,1016VS,Amsterdam,Centrum,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Osdorpplein 135,1068SR,Amsterdam,Nieuw-West,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Valkenburgerstraat 28,1011LZ,Amsterdam,Centrum,,51328585
Sportschool,Fit20,www.fit20.nl,Sportschool,Coengebouw Kabelweg 37,1014BA,Amsterdam,West,,
Sportschool,Fit20,www.fit20.nl,Sportschool,Grimburgwal 5,1012GA,Amsterdam,,,
Sportschool,Fit20,www.fit20.nl,Sportschool,Overschiestraat 55,1062HN,Amsterdam,,,
Sportschool,Fit20,www.fit20.nl,Sportschool,Paasheuvelweg 1,1105BE,Amsterdam,,,
Sportschool,Fit20,www.fit20.nl,Sportschool,Strawinskylaan 63,1077XW,Amsterdam,,,
Sportschool,Fitness Center IJburg,www.fitnesscenterijburg.nl,Sportschool,Diemerparklaan 35,1087GN,Amsterdam,Oost,,60948299
Sportschool,Fitness4me,www.fitness4me.nl,Sportschool,Bos en Lommerplein 175 ,1055AD,Amsterdam,West,,32132088
Sportschool,Fitness4me,www.fitness4me.nl,Sportschool,Bos en Lommerplein 284-286,1055RW,Amsterdam,West,,32132088
Sportschool,Fitness4me,www.fitness4me.nl,Sportschool,Postjesweg 128 G,1061AX,Amsterdam,West,,32132088
Sportschool,Mejiro gym,www.mejirogym.nl,Sportschool,Lauriergracht 86,1016RM,Amsterdam,Centrum,,
Sportschool,New York Gym,www.newyorkgym.nl,Sportschool,Veemkade 598,1019BL,Amsterdam,Centrum,,
Sportschool,Nippon do,www.nippondo.nl,Sportschool,Derde Schinkelstraat 18,1075TL,Amsterdam,Zuid,,
Sportschool,Nique,www.facebook.com/pg/sportschoolnique,Sportschool,Kromme Mijdrechtstraat 104,1078LD,Amsterdam,Zuid,,
Sportschool,R Grip Gym (MMA),www.r-grip.nl,Sportschool,Tweede Kostverlorenkade 69,1053SB,Amsterdam,West,,34307053
Sportschool,Rasalila,www.rasa-lila.nl/website,Sportschool,Tweede Kostverlorenkade 67,1053SB,Amsterdam,West,,
Sportschool,Scandic Active Club,www.activeclub.nl/amsterdam,Sportschool,Damrak 1,1012LG,Amsterdam,Centrum,,
Sportschool,Shape all in Centre,www.shape-all-in.nl,Sportschool,Van Hallstraat 617,1051HE,Amsterdam,West,,54646952
Sportschool,Shinobi-iri,www.shinobi-iri.com,Sportschool,Assendelftstraat 4,1013SP,Amsterdam,West,,41208673
Sportschool,Spafit,,Sportschool,Leidsegracht 84,1016CR,Amsterdam,Centrum,,
Sportschool,SportsArt Healthclub,,Sportschool,Watertorenplein 8,1051PA,Amsterdam,,,
Sportschool,Sportschool Shinobi-iri,,Sportschool,Assendelftstraat 4,1013SP,Amsterdam,,,
Sportschool,Sportschool Van de Berg,www.sportschoolvdberg.nl,Sportschool,Korte Geuzenstraat 7,1056KR,Amsterdam,West,,33255902
Sportschool,Ter Meulen,,Sportschool,Amstelkade 13,1078AB,Amsterdam,Zuid,,
Sportschool,The Family Gym,www.fitness-centrum.nl,Sportschool,Tweede Kostverlorenkade 132-135,1053SE,Amsterdam,West,,
Sportschool,The Temple,www.thetemple.nl,Sportschool,IJdoornlaan 246,1025CJ,Amsterdam,Noord,,
Sportschool,Vondelgym,www.vondelgym.nl,Sportschool,Overtoom 143,1054HG,Amsterdam,West,,
Sportschool,Gym West,www.gymwest.nl,Sportschool,Jan van Galenstraat 41,1056BH,Amsterdam,West,,34271962
Sportschool,Fighting Arts School,www.kawayan.org,Sportschool ,Ketelhuisplein 41,1054RD,Amsterdam,West,,
Sportschool,Gé Koning,www.sportschoolgekoning.nl,Sportschool (onder het Zuiderbad),Hobbemakade 9,1017XK,Amsterdam,Zuid,,50583700
Sportschool,Sportschool Nique,www.sportschoolnique.nl,Sportschool Nique,Amsteldijk 161,1079LH,Amsterdam,Zuid,,
Sportschool,Squash City,www.squashcity.nl,Squash City,Ketelmakerstraat 6,1013DE,Amsterdam,Centrum,,33258386
Sportschool,Fresh Supportive Health Club,www.fresh-fitness.nl,Tolstraat 57-59,Tolstraat 57-59,1073RW,Amsterdam,Zuid,,34203001
Sportschool,Trainmore,www.trainmore.nl,Trainmore Amsterdam De Pijp,Tweede van der Helststraat 2,1072PC,Amsterdam,Zuid,,32042913
Sportschool,Ultimate Fitness Amsterdam,www.ultimatefitnessamsterdam.nl,Ultimate Fitness Amsterdam,Molukkenstraat 200,1098TW,Amsterdam,Oost,,
Sportschool,Sportcentrum Universum (USC),www.usc.uva.nl,Universitair Sportcentrum,Science Park 306,1098XH,Amsterdam,Oost,,
Sportschool,MOVE//West,www.moveWest.nl,"voormalige stadsdeelkantoor, Westergasfabriekterrein",Haarlemmerweg 10a,1014BE,Amsterdam,West,,
Sportschool,Luki Goshi,www.lukigoshi.nl,Wethouder Verheijhal,Polderweg 300,1093KP,Amsterdam,Oost,,34185499
Sportschool,ASC (USC),www.usc.uva.nl,,Meibergdreef 27,1105AZ,Amsterdam,Zuidoost,,
Sportschool,Crossfit Zeeburg,www.crossfitzeeburg.com,,Cruquiusweg 96H,1019AJ,Amsterdam,Oost,,
Squash,All Sports,www.healthcity.nl/sportscholen/grand-cafe-all-sports,All Sports,Van der Hooplaan 237,1185LN,Amstelveen,Buiten Amsterdam,,
Squash,De Mirandabad,,De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,
Squash,Frans Ottenstadion,www.asrc.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,40530037
Squash,Frans Ottenstadion,www.fransottenstadion.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,
Squash,MeerSquash & Activity,www.meersquash.nl,MeerSquash & Activity,Arnolduspark 13,2132CR,Hoofddorp,Buiten Amsterdam,,
Squash,Sportcentrum De Wildenhorst,www.wildenhorst.nl,Sportcentrum De Wildenhorst,Sloterweg 301,1171VB,Badhoevedorp,Buiten Amsterdam,,40597350
Squash,Squashbanen,,Sportcentrum Escapade,Escapade 1,1183NM,Amstelveen,Buiten Amsterdam,,
Squash,Squashbanen,,Sportcentrum Leidseplein,Korte Leidsedwarsstraat 18,1017RC,Amsterdam,Centrum,,
Squash,Sportcentrum Match,,Sportcentrum Match,Sint Gilleshof 5,1066PZ,Amsterdam,Nieuw-West,,
Squash,Sportcentrum Wethouder F.B. Duran,,Sportcentrum Wethouder F.B.Duran,Ouderkerkerlaan 10,1112BE,Diemen,Buiten Amsterdam,,
Squash,Squash City,www.squashcity.nl,Squash City,Ketelmakerstraat 6,1013DE,Amsterdam,Centrum,,
Squash,Sports World,www.sportsworldamsterdam.nl,Squash World,Oranje Vrijstaatkade 31,1093KS,Amsterdam,Oost,,
Squash,Squashclub Borchland,www.borchland.nl,Squashclub Borchland,Borchlandweg 6-12,1099CT,Amsterdam,Zuidoost,,55268412
Squash,Universitair Sportcentrum,www.usc.uva.nl,Universitair Sportcentrum,Science Park 306,1098XH,Amsterdam,Oost,,
Squash,Zuiver Amsterdam,www.zuiveramsterdam.nl,Zuiver Amsterdam,Koenenkade 8,1081KH,Amsterdam,Zuid,,
Squash,Squashvereniging Amsterdam,www.squashverenigingamsterdam.nl,,Sint Gilleshof 5,1066PZ,Amsterdam,Nieuw-West,,53153251
Sup,M&M Sup,www.mm-sup.com,Blijburg,Pampuslaan 501,1087LA,Amsterdam,Oost,,51579715
Sup,Supschool Sup&Meer,www.supenmeer.nl,Supschool Sup&Meer,Boeierspad 5,1081KE,Amsterdam,Zuid,,
Surfen,Amsterdam Windsurfing ,www.amsterdamwindsurfing.nl,Clubhuis en plankstalling,Riekerweg 40,1066BT,Amsterdam,Nieuw-West,,40531494
Surfen,Gaasperplas Windsurfing,www.gaaperplaswindsurfing.nl,Clubhuis Gaasperplas,Driemondweg 5,1108AJ,Amsterdam,Zuidoost,,40533174
Surfen,Surfcenter IJburg,www.surfcenterijburg.nl,Strand Centrumeiland,Pampuslaan 501,1087HP,Amsterdam,Oost,,65863887
Survivalrun,Survivalrunvereniging RUIG,,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,,,
Taekwondo,American Fitness,www.americanfitness.nl,American Fitness,Blasiusstraat 144,1091CZ,Amsterdam,Oost,,33176009
Taekwondo,Chung Mu,www.chungmu.nl,Chung-Mu,Papaverhoek 25,1032JZ,Amsterdam,Noord,,40530647
Taekwondo,Korean Taekwondo Mudoschool Kim,www.taekwonmudo-hta.nl,Gymzaal Kortvoort 69-71,Kortvoort 69-71,1104NA,Amsterdam-Zuidoost,Zuidoost,,
Taekwondo,Taekwon-Do School Amsterdam,www.taekwondoschoolamsterdam.nl,Gymzaal Marcanti College,Jan van Galenstraat 31,1051LM,Amsterdam,West,,34315722
Taekwondo,José's Taekwondo Academy ,www.jose-taekwondo-academy.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,40538575
Taekwondo,Stichting Evolution Sports,www.evolutionsport.nl,,Bijlmerdreef 1469,1103SC,Amsterdam,Zuidoost,,34120573
Tafeltennis,Amsterdam '78,www.amsterdam78.nl,'t Koggeschip,Abraham Kuijperplein 2,1067DE,Amsterdam,Nieuw-West,,40531055
Tafeltennis,US Tafeltennis,www.ustafeltennis.nl,Amstelcampus sporthal,Tweede Boerhaavestraat 10,1091AN,Amsterdam,Oost,,40531993
Tafeltennis,A.S.S.V.,www.assv.org,ASSV centrum,Ouderkerkerlaan 10,1115NS,Duivendracht,Buiten Amsterdam,,40530845
Tafeltennis,Buurtvereniging Bloemenkwartier,www.bloemenkwartier.nl,Buurtvereniging Bloemenkwartier,Wingerdweg 260 B,1032AN,Amsterdam,Noord,,40535396
Tafeltennis,I.S.V.,www.dewijeilp.nl,De Wijde Ilp,Den Ilp 73,1127PG,Den Ilp,Buiten Amsterdam,,40624216
Tafeltennis,Meo,,Gebouw Kindervreugd,Kramatweg 31 A,1095JS,Amsterdam,Oost,,
Tafeltennis,UnitedOost,www.unitedoost.nl,Gebouw Kindervreugd,Kramatweg 31 A,1095JS,Amsterdam,Oost,,32079730
Tafeltennis,TTV De Volewijckers,www.ttvdevolewijckers.nl,Gymzaal Adelaarsweg 113,Adelaarsweg 113,1021BZ,Amsterdam,Noord,,34266688
Tafeltennis,TTV Diemen,,Gymzaal Eva Besnyöstraat 491,Eva Besnyöstraat 491,1087LG,Amsterdam,,,
Tafeltennis,JOVO,www.ttvjovo.nl,Gymzaal Wachterliedplantsoen,Wachterliedplantsoen 1,1055SB,Amsterdam,West,,40532118
Tafeltennis,TTV Patrios,,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,
Tafeltennis,Holendrecht,www.ttvholendrecht.nl,Sporthal Gaasperdam,Ravenswaaipad 5,1106AW,Amsterdam,Zuidoost,,40537839
Tafeltennis,TTV Amsterdam,www.ttvamsterdam.nl,Sporthal Laan van Spartaan,Rinus Michelslaan 26,1061MD,Amsterdam,West,,56688040
Tafeltennis,TTV De Volewijckers,www.ttvdevolewijckers.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,34266688
Tafeltennis,UnitedOost,www.unitedoost.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,32079730
Tafeltennis,AMVJ,www.amvj-tafeltennis.nl,Sportpark 't Loopveld,Aanloop 4,1183SZ,Amsterdam,Zuid,,40533621
Tafeltennis,Amsterdam '78,www.amsterdam78.nl,Tafeltenniscentrum,Schoolstraat 2,1054KD,Amsterdam,West,,40531055
Tafeltennis,Tempo Team,www.ttv-tempoteam.nl,Tempo-Team,President Kennedylaan 5,1079MB,Amsterdam,Zuid,,40531641
Tafeltennis,US Tafeltennis,www.ustafeltennis.nl,Tempo-Team,President Kennedylaan 5,1079MB,Amsterdam ,,,40531993
Tafeltennis,Tafeltennisvereniging Amstelveen,www.ttvamstelveen.com,TTV Amstelveen,Landtong 14,1186GP,Amstelveen,Buiten Amsterdam,,40530091
Tai Chi,Henk Janssen Tai Chi / Chi Kung: Balans in Beweging,www.henkjanssentaijiquan-qigong.nl,Amstelpark,Amstelpark 7,1083HZ,Amsterdam,Zuid,,
Tai Chi,Henk Janssen Tai Chi / Chi Kung: Balans in Beweging,www.henkjanssentaijiquan-qigong.nl,Doornburg/Huize Buitenveldert,Doornburg 2,1081JB,Amsterdam,Zuid,,
Tennis,A.L.T.C. De Aemstelburgh,wwww.aemstelburgh.nl,Aemstelburgh,Amsterdamseweg 253,1182GZ,Amstelveen,Buiten Amsterdam,,
Tennis,Smashing Pink,www.smashing-pink.nl,Amstelpark,Koenenkade 8,1081KH,Amsterdam,Zuid,,40539369
Tennis,T.V. Linnaeushof,www.tvlinnaeushof.nl,Linnaeushof,Linnaeushof 46,1098KM,Amsterdam,,,
Tennis,Sportcentrum De Wildenhorst,www.wildenhorst.nl,Sportcentrum De Wildenhorst,Sloterweg 301,1171VB,Badhoevedorp,Buiten Amsterdam,,40597350
Tennis,Stichting Jeugdtennis Amst. Zuidoost,www.jeugdtenniszuidoost.nl,Sporthal Gaasperdam,Ravenswaaipad 5,1106AW,Amsterdam,Zuidoost,,34105981
Tennis,Tennisvereniging A.M.V.J.,www.amvjtennis.nl,Sportpark 't Loopveld,Aanloop 2,1183SZ,Amstelveen,Zuid,,40532978
Tennis,Amstelpark Tennisclub,www.amstelpark.nl,Sportpark Amstelpark,Koenenkade 8,1081KH,Amsterdam,Zuid,,40534990
Tennis,T.C. ABN AMRO Amsterdam,www.tcabnamro.nl,Sportpark Amsterdamse Bos,Jan Tooroplaan 48,1182AE,Amsterdam,Zuid,,
Tennis,SVU TeniSTA,www.tenista.nl,Sportpark Buitenveldert West,Amsterdamseweg 253,1059BP,Amsterdam,Zuid,,40535178
Tennis,T.V. Geuzenveld,www.tvgeuzenveld.nl,Sportpark De Eendracht,Tom Schreursweg 12,1067MV,Amsterdam,Nieuw-West,,40538803
Tennis,Tennis De Kegel,www.tvdekegel.nl,Sportpark De Kegel,Bovenkerkerweg 81,1187XC,Amstelveen,Buiten Amsterdam,,40530938
Tennis,De Meer Tennis,www.demeertennis.nl,Sportpark Drie Burg,Drie Burgpad 8,1097HK,Amsterdam,Oost,,34356560
Tennis,S.V. Geinburgia,www.geinburgia.nl,Sportpark Driemond,Stammerlandweg 10,1109BR,Amsterdam,Zuidoost,,40531522
Tennis,Tennisclub IJburg,www.tennisclubijburg.nl,Sportpark IJburg Oost,Zandzeggestraat 1,1087SL,Amsterdam,Oost,,51015439
Tennis,A.L.T.C. D.D.V. ,www.altcddv.nl,Sportpark IJsbaanpad,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,40530717
Tennis,Tennisvereniging Blauw-Wit,www.akcblauwwit.nl,Sportpark Joos Banckersweg,Joos Banckersweg 16a,1056EP,Amsterdam,West,,40531926
Tennis,A.T.C. Kadoelen,www.atckadoelen.nl,Sportpark Kadoelen,Sportpark Kadoelen 4,1035NB,Amsterdam,Noord,,40533567
Tennis,S.V. T.O.B. afdeling Tennis,www.tobtennis.nl,Sportpark Melkweg,Meteorenweg 280,1035RN,Amsterdam,Noord,,40530737
Tennis,A.S.T.V. Chip & Charge,www.chipencharge.nl,Sportpark Middenmeer,Radioweg 80,1098NJ,Amsterdam,Oost,,33305798
Tennis,T.V. Osdorp,www.tvosdorp.nl,Sportpark Ookmeer,Han Hollanderlaan 1,1067BB,Amsterdam,Nieuw-West,,40537058
Tennis,APGS,,Sportpark Overamstel,Ouderkerkerdijk 153,1096CR,Amsterdam,Oost,,
Tennis,Tennisvereniging P.S.T.,www.tennisclubpst.nl,Sportpark Parkschouwburg,Plantage Parklaan 20A,1018ST,Amsterdam,Centrum,,34166549
Tennis,L.T.C. Strandvliet,www.strandvliet.nl,Sportpark Strandvliet,Zwartelaantje 5,1114BA,Amsterdam-Duivendrecht,Buiten Amsterdam,,40533271
Tennis,T.V. Tie-Breakers,www.tiebreakers.nl,Sportpark Valentijnkade,Valentijnkade 132,1095KH,Amsterdam,Oost,,40539107
Tennis,Triaz tennis,www.triaz.nl,Sportpark Van Heenvlietlaan,Van Heenvlietlaan 6,1083CL,Amsterdam,,,34163529
Tennis,V.V.G.A.,www.vvga.nl,Sportpark Voorland,Wembleylaan 5,1098WG,Amsterdam,Oost,,40532889
Tennis,A.L.T.C. De Algemene,www.dealgemene.nl,Sportpark Zuid,IJsbaanpad 45,1081BT,Amsterdam,Zuid,,40530717
Tennis,T.C. IJsbaanpad,www.ijsbaanpad.nl,Sportpark Zuid,IJsbaanpad 45,1076CV,Amsterdam,Zuid,,34113506
Tennis,TC Twiske,www.tc-twiske.nl,Tennisclub 't Twiske,Twiskeweg 99,1511BW,Oostzaan,Buiten Amsterdam,,40617242
Tennis,Badhoevedorp T.V.,www.tvbadhoevedorp.nl,Tennispark ,Snelliuslaan 41,1171CZ,Badhoevedorp,Buiten Amsterdam,,40594121
Tennis,A.T.V. Diemen,www.atvd.nl,Tennispark A.T.V.D.,Willem de Zwijgerlaan 4,1111ZS,Diemen,Buiten Amsterdam,,40532169
Tennis,A.L.T.C. Buitenveldert,www.altc-buitenveldert.nl,Sportpark Buitenveldert West,IJsbaanpad 43,1081BT,Amsterdam,Zuid,,40531208
Tennis,Maccabi,www.maccabi-tennis.nl,Sportpark Buitenveldert West,Van der Boechorststraat 38,1081BT,Amsterdam,Zuid,,40533868
Tennis,A.L.T.C. Joy Jaagpad,www.joyjaagpad.nl,Tennispark Jaagpad,Jaagpad 48,1059BP,Amsterdam,Zuid,,40530309
Tennis,T.C. Kattenlaan,www.tennisclubkattenlaan.nl,Tennispark Kattenlaan (Vondelpark),Kattenlaan 13,1054KA,Amsterdam,West,,34252462
Tennis,Tennis Club Amsterdam,www.tcamsterdam.info,Sportpark Amsterdamse Bos,Nieuwe Kalfjeslaan 19a,1182AA,Amsterdam,Zuid,,40532297
Tennis,A.T.C. Sloterplas,www.atcsloterplas.nl,Tennispark Sloterplas,August Vermeylenstr 50,1064AB,Amsterdam,Nieuw-West,,40532514
Tennis,L.T.C. Startbaan,www.ltcstartbaan.nl,Tennispark Startbaan,Startbaan 2,1185XR,Amstelveen,,,
Tennis,L.T.C. Festina,www.ltcfestina.nl,Sportpark Vondelpark,Vondelpark 2a,1071AA,Amsterdam,Zuid,,40530397
Tennis,TV Heb Durf,www.hebdurf.nl,TV Heb Durf,Sportpark 9,1121MS,Landsmeer,Buiten Amsterdam,,
Tennis,USC Tennis,www.usc.uva.nl,USC Tennis,Radioweg 80,1098NJ,Amsterdam,Oost,,
Tennis,TV De Vliegende Hollander,www.dvh-tennis.nl,Wimbledonpark,Wimbledonpark 161,1185XM,Amstelveen,Buiten Amsterdam,,40531990
Tennis,T.C. Elzenhagen,www.elzenhagen.nl,,Nieuwendammerkade 15,1022AB,Amsterdam,Noord,,40537216
Triathlon,De Dolfijn,www.triathlonweb.nl/dedolfijn,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,40532114
Vecht- en krachtsport,Tenaga Kembar,,Anne Frankschool,Niersstraat 41,1078VJ,Amsterdam,Zuid,,
Vecht- en krachtsport,Wing Chun Federatie-Amsterdam,www.vechtsportschoolamsterdm.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Centrum voor vrije tijd,Ed Pelsterpark 8,1087EJ,Amsterdam,Oost,,51100053
Vecht- en krachtsport,Inside Defence,www.insidedefence.nl,Centrum voor vrije tijd,Ed Pelsterpark 8,1087EJ,Amsterdam,,,55375049
Vecht- en krachtsport,Wushu Ned.Pers,,De Meent,Vreeswijkpad 8,1106DV,Amsterdam,Zuidoost,,
Vecht- en krachtsport,Amsterdamse Wing-Chun Kung-Fu,www.wing-chun.nl,De Punt,Aker Wateringstraat 2,1069GE,Amsterdam,Nieuw-West,,
Vecht- en krachtsport,Poekoelan Kung Fu,www.poekoelan.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,
Vecht- en krachtsport,Matrial Arts Health Sports,,Gymzaal Akerwateringstraat 2,Akerwateringstraat 2,1069VP,Amsterdam,Nieuw-West,,
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Gymzaal August Allebéplein 7,August Allebéplein 7,1062AA,Amsterdam,Nieuw-West,,51100053
Vecht- en krachtsport,"Nei Gong, school voor Traditionele Tai Chi Chuan",www.neigong.nl,Gymzaal Bankastraat 18,Bankastraat 18,1094 ED,Amsterdam,Oost,,34342887
Vecht- en krachtsport,"Wuji, Stichting",www.taiji.nl,Gymzaal Bankastraat 18,Bankastraat 18,1094 ED,Amsterdam,Oost,,
Vecht- en krachtsport,Matuari,www.matuari.org,Gymzaal Borneokade 103,Borneokade 103,1019KZ,Amsterdam,Oost,,41203045
Vecht- en krachtsport,FysCultura,www.fyscultura.nl,Gymzaal de Schakel,Alexander Dumaslaan 17,1102WB,Amsterdam, Zuidoost,,55797431
Vecht- en krachtsport,Shaolin Wuhun Helan,www.shaolinwuhun.nl,Gymzaal het Klaverblad,Darlingstraat 1,1102MX,Amsterdam,Zuidoost,,34391007
Vecht- en krachtsport,Taekwon-Do School Amsterdam,,Gymzaal Marcanti College,Jan van Galenstraat 31,1051LM,Amsterdam,West,,
Vecht- en krachtsport,"Nei Gong, school voor Traditionele Tai Chi Chuan",www.neigong.nl,Gymzaal MFC Binnenhof,Arent Janszoon Ernststraat 112,1082LP,Amsterdam,Zuid,,34342887
Vecht- en krachtsport,Samurai Sport,www.samuraisports.nl,Gymzaal Prof. Dr.H.Kraemerschool,Nieuwe laan 34,1068BZ,Amsterdam,Nieuw-West,,52505634
Vecht- en krachtsport,Shaolin Culture Training School Amsterdam,,Gymzaal Schakel,Alex Dumaslaan 911,1102WD,Amsterdam-Zuidoost,Zuidoost,,
Vecht- en krachtsport,"Nei Gong, school voor Traditionele Tai Chi Chuan",www.neigong.nl,Gymzalen Willem Witsenstraat 6-8,Willem Witsenstraat 6-8,1077AZ,Amsterdam,Zuid,,34342887
Vecht- en krachtsport,Zelfverdedigingsschool Nusantara,www.zelfverdedigingschoolnusantara.nl,Gymzalen Willem Witsenstraat 6-8,Willem Witsenstraat 6-8,1077AZ,Amsterdam,Zuid,,37119393
Vecht- en krachtsport,AAC Hercules,www.aachercules.nl,Krachtsprt.centrum,Dr. Meurerlaan 6,1067SM,Amsterdam,Nieuw-West,,
Vecht- en krachtsport,Luk Hop Moon,www.lukhopmoon.nl,Luk Hoop Moon,Pieter Nieuwlandstraat 95,1093XN,Amsterdam,Oost,,34311450
Vecht- en krachtsport,Mike's Gym ,www.mikesgym.nl,Mikes Gym,Skoon 19-21,1511HV,Oostzaan,Buiten Amsterdam,,34184646
Vecht- en krachtsport,Pancration,www.pancration.nl,Pancration,Zilverberg 68 B,1025CJ,Amsterdam,Noord,,34178012
Vecht- en krachtsport,Tijgertje,www.tijgertje.nl,Readegebouw,Overtoom 283,1054HW,Amsterdam,West,,40539506
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,51100053
Vecht- en krachtsport,Liu He Men Kung Fu school,www.liuhemen.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,,,34212965
Vecht- en krachtsport,Body Fit,www.sportcentrumkops.nl,Sportcentrum Kops,Weesperzijde 115,1091EN,Amsterdam,Oost,,40535111
Vecht- en krachtsport,Sportcentrum Pleizier,www.sportcentrumpleizier.nl,Sportcentrum Pleizier,Wisseloordplein 4,1106MA,Amsterdam,Zuidoost,,40538671
Vecht- en krachtsport,Fightin Nabil,www.fightinnabil.nl,Sportcentrum Sloten,Sloterweg 1043T,1066CC,Amsterdam,Nieuw-West,,51100053
Vecht- en krachtsport,Fudoshin Ryu ,www.fudoshinryu.nl,Sporthal Laan van Spartaan,Rinus Michelslaan 26,1061MB,Amsterdam,West,,37157802
Vecht- en krachtsport,Mousid Gym,www.mousidgym.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,34161657
Vecht- en krachtsport,Katsujinken,www.katsujinken.nl,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,34229242
Vecht- en krachtsport,Sportvereniging van de Vathorst,,Sportschool,Ernest Staesplein 2,1061BZ,Amsterdam,Nieuw-West,,
Vecht- en krachtsport,Vos Gym ,www.vosgymamsterdam.com,Sportschool,Donker Curtiusstraat 3,1051JL,Amsterdam,West,,61342726
Vecht- en krachtsport,Xenasports,,Sportschool,Van Hallstraat 52,1051HH,Amsterdam,West,,
Vecht- en krachtsport,Thai Chi Chuan Studio,www.tai-chi-chuan-studio.nl,Studio ,De Genestetstraat 11 hs,1054AW,Amsterdam,West,,
Vecht- en krachtsport,Tajiquan & Qigong Centre Amsterdam,www.tajiicentre.nl,Studio Seven,Eerste Nassaustraat 7,1052BD,Amsterdam,West,,34336517
Vecht- en krachtsport,Fighting Arts School,,WG terrein,Ketelhuisplein 41,1054RD,Amsterdam,West,,
Vecht- en krachtsport,ZeeburgSport,www.zeeburgsport.nl,Zeeburg Sport,Cruquiusweg 98M,1019AJ,Amsterdam,Oost,,
Vecht- en krachtsport,Kimekai Gym,www.kimekaigym.nl,,Erich Salomonstraat 432,1087JA,Amsterdam,,,34284240
Vecht- en krachtsport,Kops,www.sportcentrumkops.nl,,Weesperzijde 115,1091EN,Amsterdam,,,40535111
Vecht- en krachtsport,Martial Arts Teakwondo Amsterdam,,,Thomas van Aquinostraat 2,1064NE,Amsterdam,Nieuw-West,,
Vecht- en krachtsport,Shin-Shinbuken,www.shin-shinbuken.nl,,Lodewijk van Deysselsstraat 107,1064HN,Amsterdam,Nieuw-West,,
Voetbal,DVVA,www.dvva.nl,DVVA,Drieburgpad 5,1097HK,Amsterdam,Oost,,40532106
Voetbal,Geinburgia,www.geinburgia.com,MatchZO,Stammerlandweg 10,1109BR,Amsterdam,Zuidoost,,40531522
Voetbal,OFC,www.ofc-oostzaan.nl,OFC Terrein,Twiskeweg 8,1511BZ,Oostzaan,Buiten Amsterdam,,
Voetbal,K.L.M. sport,klmsv.blogspot.com,Sportcentrum KLM,Wimbledonpark 2,1185XN,Amsterdam,Buiten Amsterdam,,
Voetbal,sc Badhoevedorp,www.scbdorp.nl,Sportcomplex de Sporthoeve,Sportlaan 2,1171EH,Badhoevedorp,Buiten Amsterdam,,40594223
Voetbal,AMVJ,www.amvjvoetbal.nl,Sportpark 't Loopveld,Aanloop 2,1193SZ,Amstelveen,Zuid,,40533621
Voetbal,RAP,www.svrap.nl,Sportpark 't Loopveld,Aanloop 4,1183SZ,Amsterdam,Zuid,,40531910
Voetbal,FC Amsterdamse Bos,www.fcamsterdamsebos.nl,Sportpark Amsterdamse Bos,Jan Tooroplaan 48,1182AE,Amstelveen,Buiten Amsterdam,,40531279
Voetbal,Zuidoost United,www.zuidoostunited.nl,Sportpark Bijlmer,Karspeldreef 505,1102BX,Amsterdam,Zuidoost,,40536151
Voetbal,Roda'23,www.roda23.nl,Sportpark Bovenkerk,Noorddammerweg 48 C,1187ZT,Amsterdam,Buiten Amsterdam,,
Voetbal,DVC Buiksloot,www.volewijckers.nl,Sportpark Buiksloterbanne,Baron de Coubertinlaan 1,1034ZK,Amsterdam,Noord,,
