Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK
Roeien,KAR & ZV De Hoop,www.karzvdehoop.nl,De Hoop,Weesperzijde 1046a,1091EH,Amsterdam,Centrum,,
Roeien,De Drietand,www.rvdedrietand.nl,Lyceumbrug,Olympiaplein  1,1077CJ,Amsterdam,Zuid,,40533168
Roeien,A.S.R. Nereus ,www.nereus.nl,Nereus,Amsteldijk 130a,1078RT,Amsterdam,Centrum,,40531626
Roeien,RSVU Okeanos,www.okeanos.nl,Okeanos,Bosbaan 8,1182AG,Amsterdam,Buiten Amsterdam,,40530079
Roeien,Poseidon,www.rzv-poseidon.nl,Poseidon,Jan Vroegopsingel 4,1096CN,Amsterdam,Oost,,33214222
Roeien,RIC,www.ricamsterdam.nl,RIC,Korte Ouderkerkerdijk 32,1096AC,Amsterdam,Oost,,40532330
Roeien,Roei- en Zeilvereniging De Amstel,www.amstelroei.nl,Roei- en Zeilvereniging De Amstel,Hobbemakade 122,1071XW,Amsterdam,Zuid,,40530035
Roeien,Roeicentrum Berlagebrug,www.roeicentrumberlagebrug.nl,Roeicentrum Berlagebrug,Weesperzijde 1094,1097DS,Amsterdam,Centrum,,54894182
Roeien,Roeivereeniging Willem III,www.willem3.nl,Roeivereeniging Willem III,Jan Vroegopsingel 8,1096CN,Amsterdam,Oost,,40532201
Roeien,A.A.S.R. Skøll,www.skoll.nl,Skøll,Jan Vroegopsingel 6,1096CN,Amsterdam,Oost,,40531954
Rugby,A.S.R.V. Ascrum,www.ascrum.nl,Sportpark De Eendracht,Bok de Korverweg 4,1067HR,Amsterdam,Nieuw-West,,40531278
Rugby,AAC,www.aacrugby.com,Sportpark De Eendracht,Bok de Korverweg 6 A,1067HR,Amsterdam,Nieuw-West,,40538624
Rugby,Praetor Rugbyclub Amsterdam,www.praetor-rugby.nl,Sportpark Sloten,Sloterweg 1045,1066CD,Amsterdam,Nieuw-West,,74526685
Schaatsen,"IJsclub ""Hard Gaat Ie""",www.hardgaatie.nl,Clubgebouw IJsclub Hard Gaat Ie,Zuideinde 33,,Amsterdam,Oost,,40531701
Schaatsen,Zunderdorp,www.ijsclubzunderdorp.nl,IJsbaan aan 't Zwet,Termietergouw 7,1027AD,Amsterdam,Noord,,
Schaatsen,A.S.S.V. Hogerop,www.hogerop.org,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40538504
Schaatsen,Amsterdam Hardrijders Club Amsterdam (H.C.A.),www.sv-hca.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,
Schaatsen,Amsterdamse Schaats Club Jaap Eden,www.ascjaapeden.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40533761
Schaatsen,Amsterdamse Ski Vereniging,www.ski-amsterdam.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40539152
Schaatsen,AMVJ,www.amvj-schaatsen.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,
Schaatsen,Baambrugge Y.C,www.baambruggeschaatst.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,
Schaatsen,Diemer IJsclub,www.diemerijsclub.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40533656
Schaatsen,Duo Sport,www.duosport.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,
Schaatsen,IJsclub Gein en omstreken,www.geinenomstreken.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,40532715
Schaatsen,SKITS,www.skits.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,52955214
Schaatsen,STG Afterskate,www.stgafterskate.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,
Schaatsen,ZTIKZ,www.ztikz.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,
Schaatsen,Holysloot,geen website,Natuurijsbaan,Holysloot,,Amsterdam,Buiten Amsterdam,,
Schaatsen,Diemer IJsclub,www.diemerijsclub.nl,Natuurijsbbaan Diemen,Keulse Vaart 136,1111RN,Diemen,Diemen,,40533656
Schaatsen,De Poelster,www.poelster.nl,Poelzicht,Doorweg 2,1182JL,Amstelveen,Buiten Amsterdam,,
Schaken,Amsterdam West,www.svamsterdamWest.nl,ASV Bilderdijkpark,Bilderdijkpark 10,1052SB,Amsterdam,West,,
